City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
360,kavaratti,10.5669,72.642,27.61,64,0,3.03,IN,1677897470
361,fohnsdorf,47.2183,14.6819,-0.18,90,17,1.97,AT,1677897470
362,dakar,14.6937,-17.4441,19.49,76,92,5.52,SN,1677897471
363,laguna,38.421,-121.4238,13.16,52,0,3.09,US,1677897471
364,san miguel de cauri,-10.1,-76.5833,7.73,91,84,1.53,PE,1677897472
365,lac du bonnet,50.2536,-96.0612,-7.7,98,93,1.87,CA,1677897472
366,katsuura,35.1333,140.3,12.92,48,91,0.56,JP,1677897472
367,saurimo,-9.6608,20.3916,17.52,88,100,1.03,AO,1677897473
368,kikwit,-5.041,18.8162,21.39,91,100,0.85,CD,1677897473
369,coahuayana,18.7333,-103.6833,20.27,90,92,1.16,MX,1677897473
370,jacobina,-11.1806,-40.5183,21.32,86,1,2.36,BR,1677897376
371,omboue,-1.5746,9.2618,26.01,90,92,3.16,GA,1677897474
372,kita,13.0349,-9.4895,24.76,15,4,2.02,ML,1677897474
373,yumen,40.2833,97.2,8.04,18,4,6.76,CN,1677897475
374,alyangula,-13.8483,136.4192,26.97,77,100,7.83,AU,1677897475
375,sao jose da coroa grande,-8.8978,-35.1478,25.88,78,74,3.01,BR,1677897475
376,meadow lake,34.8014,-106.5436,8.4,54,1,3.59,US,1677897476
377,venice,27.0998,-82.4543,25.01,85,0,5.66,US,1677897476
378,weiser,44.251,-116.9693,4.11,62,100,0.89,US,1677897476
379,udachnyy,66.4167,112.4,-10.86,78,75,7.05,RU,1677897477
380,auki,-8.7676,160.7034,27.2,82,100,4.47,SB,1677897477
381,trinidad,-14.8333,-64.9,23.74,97,83,1.56,BO,1677897477
382,batticaloa,7.7102,81.6924,26.31,79,56,3.37,LK,1677897478
383,araouane,18.9048,-3.5265,20.89,10,32,2.19,ML,1677897478
384,souris,49.6172,-100.2612,-9.08,91,11,3.72,CA,1677897478
385,lagoa,39.05,-27.9833,13.42,76,64,8.97,PT,1677897479
386,nipawin,53.3668,-104.0009,-4.98,80,0,2.06,CA,1677897479
387,marinette,45.1,-87.6307,-0.75,93,0,2.57,US,1677897480
388,zyryanovsk,49.7386,84.2719,-7.38,96,97,1.03,KZ,1677897480
389,savannakhet,16.566,104.751,23.01,73,40,2.06,LA,1677897480
390,escada,-8.3592,-35.2236,27.41,88,86,1.58,BR,1677897481
391,port blair,11.6667,92.75,27.02,83,40,0.0,IN,1677897482
392,obigarm,38.7173,69.7088,4.12,68,99,3.43,TJ,1677897483
393,brattvag,62.6002,6.4434,1.83,64,100,4.63,NO,1677897483
394,manjacaze,-24.7117,33.8828,21.93,97,21,1.96,MZ,1677897484
395,mogadishu,2.0371,45.3438,25.31,83,83,8.73,SO,1677897187
396,maunabo,18.0072,-65.8993,24.91,91,37,5.56,PR,1677897319
397,eregli,37.5133,34.0467,8.79,55,96,0.44,TR,1677897485
398,caravelas,-17.7125,-39.2481,23.72,89,2,1.75,BR,1677897485
399,urbano santos,-3.2078,-43.4036,23.28,98,100,1.52,BR,1677897485
400,villa carlos paz,-31.4241,-64.4978,24.11,52,0,0.89,AR,1677897486
401,sechura,-5.5569,-80.8222,26.36,64,53,4.59,PE,1677897486
402,trairi,-3.2778,-39.2689,24.1,93,100,3.8,BR,1677897416
403,luxeuil-les-bains,47.8171,6.365,2.4,93,12,0.51,FR,1677897487
404,sohag,26.557,31.6948,16.16,18,50,0.93,EG,1677897487
405,kruisfontein,-34.0033,24.7314,21.05,85,71,2.84,ZA,1677897488
406,tautira,-17.7333,-149.15,27.45,76,100,2.98,PF,1677897488
407,odweyne,9.4092,45.064,18.87,63,15,1.68,SO,1677897489
408,batagay,67.6333,134.6333,-26.47,95,100,2.66,RU,1677897489
409,thessalon,46.2501,-83.5666,-0.84,93,100,2.49,CA,1677897490
410,san patricio,28.017,-97.5169,18.91,51,0,3.92,US,1677897491
411,yulin,22.6333,110.15,21.5,57,80,2.31,CN,1677897491
412,ulaangom,49.9811,92.0667,-12.13,82,98,0.79,MN,1677897492
413,labuan,5.2767,115.2417,28.2,74,20,2.57,MY,1677897492
414,hami,42.8,93.45,9.07,23,28,0.74,CN,1677897493
415,kerikeri,-35.2268,173.9474,22.86,62,21,2.6,NZ,1677897493
416,manacapuru,-3.2997,-60.6206,24.72,93,100,2.0,BR,1677897494
417,sambava,-14.2667,50.1667,23.84,91,100,1.84,MG,1677897494
418,kailua,21.4022,-157.7394,25.99,79,40,5.66,US,1677897495
419,kenora,49.8167,-94.4337,-1.46,69,0,2.57,CA,1677897495
420,champerico,14.3,-91.9167,25.38,76,5,2.45,GT,1677897496
421,kota tinggi,1.7381,103.8999,25.1,98,100,1.56,MY,1677897348
422,talnakh,69.4865,88.3972,-16.99,96,100,2.29,RU,1677897497
423,nishihara,26.1842,127.7558,19.82,48,20,2.57,JP,1677897497
424,palu,-0.8917,119.8707,29.26,70,99,1.72,ID,1677897407
425,beringovskiy,63.05,179.3167,-17.27,97,100,7.17,RU,1677897498
426,isangel,-19.55,169.2667,26.64,89,100,9.67,VU,1677897499
427,iracoubo,5.4802,-53.2011,24.83,84,95,5.59,GF,1677897499
428,mopipi,-21.1833,24.8833,22.22,61,1,3.89,BW,1677897500
429,alta floresta,-9.8756,-56.0861,22.32,95,45,0.93,BR,1677897500
430,tianpeng,30.9866,103.9393,14.26,51,43,1.85,CN,1677897501
431,nha trang,12.25,109.1833,27.0,68,100,7.69,VN,1677897501
432,hlotse,-28.8718,28.045,15.66,81,97,1.04,LS,1677897502
433,nakamura,32.9833,132.9333,13.91,45,100,1.79,JP,1677897503
434,kapit,2.0167,112.9333,24.05,96,100,0.79,MY,1677897503
435,pochutla,15.7432,-96.4661,25.46,78,6,1.79,MX,1677897504
436,bilibino,68.0546,166.4372,-30.88,89,7,1.03,RU,1677897505
437,broome,42.2506,-75.833,1.03,87,100,8.23,US,1677897505
438,evans,33.5337,-82.1307,26.11,79,75,8.23,US,1677897416
